"CI";"PR";"Error";"Server";"Build"
"z";"38050";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12713"
"z";"38497";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12702"
"z";"38401";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12603"
"z";"38456";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12647"
"z";"38477";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12644"
"z";"38480";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12649"
"z";"38486";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12660"
"z";"38487";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12661"
"z";"38409";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12694"
"z";"38489";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12667"
"z";"38490";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12670"
"z";"38496";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12690"
"z";"38138";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12609"
"z";"38410";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12631"
"z";"38410";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12632"
"z";"38449";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12634"
"z";"38452";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12612"
"z";"38452";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12630"
"z";"38473";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12626"
"z";"38500";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12722"
"z";"38500";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12723"
"z";"37432";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12563"
"z";"38392";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12565"
"z";"38409";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12575"
"z";"38409";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12577"
"z";"38432";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12583"
"z";"38432";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12587"
"z";"38432";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12590"
"z";"38432";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12591"
"z";"38450";"  Could not resolve 'security.debian.org'";"s390x-ubuntu-25";"12573"
"z";"38459";"  Could not resolve 'cdn-fastly.deb.debian.org'";"s390x-ubuntu-25";"12576"
"powerpc";"38050";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12863"
"powerpc";"38380";"  Could not resolve 'security.debian.org'";"ppc64le-ubuntu-34";"12768"
"powerpc";"38443";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12769"
"powerpc";"38480";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12833"
"powerpc";"38480";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12839"
"powerpc";"38487";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12824"
"powerpc";"34143";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12805"
"powerpc";"38380";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12777"
"powerpc";"38452";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12783"
"powerpc";"38475";"  Could not resolve 'ftp.us.debian.org'";"ppc64le-ubuntu-34";"12804"
"powerpc";"38497";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12866"
"powerpc";"38432";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12757"
"powerpc";"38432";"  Could not resolve 'security.debian.org'";"ppc64le-ubuntu-34";"12759"
"powerpc";"38450";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12744"
"powerpc";"38451";"  Could not resolve 'cdn-fastly.deb.debian.org'";"ppc64le-ubuntu-34";"12743"
