"Time";"Server";"CI";"Type";"Build";"PR";"Test"
"";"azure-windows-rs5-1";"rs5";"integration-cli";"998";"38497";"TestContainersAPICreateMountsCreate"
"2982.98";"azure-windows-rs5-1";"rs5";"integration";"998";"38497";"Test"
"0.00";"azure-windows-rs5-2";"rs5";"integration";"933";"38467";"TestFromStatusCode"
"0.00";"azure-windows-rs5-2";"rs5";"integration";"933";"38467";"TestInfoInvalidResponseJSONError"
"0.00";"azure-windows-rs5-2";"rs5";"integration";"934";"38467";"TestInfoInvalidResponseJSONError"
"0.00";"azure-windows-rs5-2";"rs5";"integration";"934";"38467";"TestClientWithRequestTimeout"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"967";"38482";"TearDownTest"
"2361.27";"azure-windows-rs5-3";"rs5";"integration";"967";"38482";"Test"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestAPIImagesDelete"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestAPIImagesHistory"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestAPIImagesSaveAndLoad"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestAPIStatsNetworkStats"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestAPIStatsNoStreamGetCpu"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestAPIStatsStoppedContainerInGoroutines"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestAttachMultipleAndRestart"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAPIDockerFileRemote"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAPIUnnormalizedTarPaths"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddCacheOnFileChange"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddCurrentDirWithCache"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddCurrentDirWithoutCache"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddLocalAndRemoteFilesWithAndWithoutCache"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddMultipleLocalFileWithAndWithoutCache"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddNonTar"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddOrCopyEtcToRootShouldNotConflict"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddRemoteFileMTime"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddRemoteFileWithAndWithoutCache"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddRemoteNoDecompress"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddSingleFileToWorkdir"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddTar"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildAddToSymlinkDest"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArg"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArgCacheHit"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArgCacheMissExtraArg"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArgCacheMissSameArgDiffVal"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArgDefinitionWithNoEnvInjection"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArgExpansion"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArgHistory"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArgQuotedValVariants"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildBuildTimeArgUnconsumedArg"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCacheBrokenSymlink"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCacheFromEqualDiffIDsLength"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCacheRootSource"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCleanupCmdOnEntrypoint"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildClearCmd"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCmd"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCmdJSONNoShDashC"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCmdShDashC"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCmdShellArgsEscaped"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCmdSpaces"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildConditionalCache"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildContChar"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildContextCleanup"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildContextTarGzip"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildContextTarNoCompression"
"";"azure-windows-rs5-3";"rs5";"integration-cli";"968";"38482";"TestBuildCopyCacheOnFileChange"
