"Timestamp","Server","PR","Build","DockerVersion","KernelVersion","Result","Error"
"2019-05-28 12:22:14","azure-windows-rs1-8","39275","25343","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","SUCCESS",
"2019-05-28 14:24:58","azure-windows-rs1-9","38349","25344","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","SUCCESS",
"2019-05-28 14:24:58","azure-windows-rs1-8","39173","25345",,,"FAILURE",
"2019-05-28 16:54:00","azure-windows-rs1-5","39173","25348","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","SUCCESS",
"2019-05-28 17:04:30","azure-windows-rs1-9","39271","25349","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","SUCCESS",
"2019-05-28 17:35:08","azure-windows-rs1-4","39277","25350","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","SUCCESS",
"2019-05-28 21:25:24","azure-windows-rs1-9","39275","25351","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","SUCCESS",
"2019-05-29 00:05:06","azure-windows-rs1-4","39193","25352","master-dockerproject-2019-04-10",,"FAILURE",
"2019-05-29 00:07:57","azure-windows-rs1-4","39193","25353","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE",
"2019-05-29 01:07:37","azure-windows-rs1-8","39252","25354","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE",
"2019-05-29 08:39:10","azure-windows-rs1-4","39279","25355","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-3a5c1a9253\daemon\windowsfilter\1ccca9e94ffdf51be7af608dbb22956326a878d0817a2b7dde5eaaa72b283473 D:\CI\CI-3a5c1a9253\daemon\windowsfilter\1ccca9e94ffdf51be7af608dbb22956326a878d0817a2b7dde5eaaa72b283473-removing: Access is denied.: failed to remove image sha256:6d873a52798d566b9ed6b8913b54ed1f0311a73c75264674f71d51e8fb76375b"
